chunk_size,chunk_overlap,overlap_ratio,stage1_k,top_k_reranked,num_chunks,avg_correctness,avg_relevance,avg_latency_ms,build_time_s,combined_score
400,80,0.2,20,3,1272,4.9,5.0,3976.111888885498,8.307363986968994,4.95
200,80,0.4,50,5,2638,4.9,5.0,5865.934777259827,15.472388982772827,4.95
200,80,0.4,50,3,2638,4.9,5.0,5029.714608192444,17.75880193710327,4.95
200,80,0.4,30,10,2638,4.9,5.0,3065.0845050811768,14.104949951171875,4.95
200,80,0.4,30,5,2638,4.9,5.0,3610.4198694229126,16.18900203704834,4.95
200,80,0.4,30,3,2638,4.9,5.0,3976.2245178222656,13.963176965713501,4.95
200,80,0.4,20,10,2638,4.9,5.0,3123.542094230652,13.41598892211914,4.95
200,80,0.4,20,3,2638,4.9,5.0,2896.8887090682983,12.373668909072876,4.95
200,60,0.3,50,5,2589,4.9,5.0,5836.139464378357,12.793177127838135,4.95
200,60,0.3,30,10,2589,4.9,5.0,3509.238910675049,13.264267921447754,4.95
600,120,0.2,30,10,859,4.9,5.0,6438.210940361023,4.940953731536865,4.95
200,60,0.3,30,5,2589,4.9,5.0,3569.365668296814,14.667073011398315,4.95
200,60,0.3,30,3,2589,4.9,5.0,2988.194513320923,13.507037878036499,4.95
200,60,0.3,20,5,2589,4.9,5.0,2433.6077213287354,16.651401042938232,4.95
200,40,0.2,50,10,2563,4.9,5.0,6455.416536331177,14.863801956176758,4.95
200,40,0.2,50,5,2563,4.9,5.0,5646.034026145935,12.71346116065979,4.95
200,40,0.2,50,3,2563,4.9,5.0,6151.627278327942,12.269068002700806,4.95
200,40,0.2,30,5,2563,4.9,5.0,3399.70805644989,14.264867782592773,4.95
200,40,0.2,30,3,2563,4.9,5.0,2895.5212831497192,13.217332124710083,4.95
200,40,0.2,20,10,2563,4.9,5.0,2508.5122108459473,13.711157083511353,4.95
400,80,0.2,20,5,1272,4.9,5.0,3624.402642250061,9.037173986434937,4.95
600,120,0.2,20,3,859,4.9,5.0,4596.641445159912,5.9519429206848145,4.95
400,80,0.2,30,5,1272,4.9,5.0,5582.55033493042,9.633577823638916,4.95
400,80,0.2,30,10,1272,4.9,5.0,5537.717032432556,8.61237120628357,4.95
600,120,0.2,30,5,859,4.9,5.0,6400.692820549011,5.480303049087524,4.95
600,120,0.2,20,10,859,4.9,5.0,4895.5907344818115,6.080143928527832,4.95
200,40,0.2,20,5,2563,4.9,5.0,2549.365782737732,15.482311725616455,4.95
400,160,0.4,50,5,1355,4.9,5.0,7155.405688285828,9.017333984375,4.95
400,160,0.4,50,3,1355,4.9,5.0,6599.334812164307,7.209167003631592,4.95
400,160,0.4,30,5,1355,4.9,5.0,4606.486821174622,9.551074028015137,4.95
400,160,0.4,30,3,1355,4.9,5.0,4459.143590927124,8.834435939788818,4.95
400,160,0.4,20,10,1355,4.9,5.0,3426.743173599243,8.113986015319824,4.95
400,160,0.4,20,3,1355,4.9,5.0,3476.6865491867065,7.50886607170105,4.95
400,120,0.3,50,3,1304,4.9,5.0,6379.2314529418945,11.32964301109314,4.95
400,120,0.3,30,10,1304,4.9,5.0,4459.047985076904,8.917235851287842,4.95
400,120,0.3,30,5,1304,4.9,5.0,5952.166295051575,9.241894245147705,4.95
400,120,0.3,30,3,1304,4.9,5.0,5198.19221496582,8.132911205291748,4.95
400,120,0.3,20,10,1304,4.9,5.0,3538.643264770508,8.640839338302612,4.95
400,120,0.3,20,5,1304,4.9,5.0,4219.162011146545,8.796332836151123,4.95
400,120,0.3,20,3,1304,4.9,5.0,3922.9995489120483,8.519340991973877,4.95
400,80,0.2,50,5,1272,4.9,5.0,7246.22483253479,8.873486042022705,4.95
600,180,0.3,50,3,875,4.6,4.8,9688.310027122498,5.804833173751831,4.699999999999999
600,120,0.2,50,3,859,4.6,4.8,9782.92772769928,13.706871032714844,4.699999999999999
400,80,0.2,50,3,1272,4.5,4.6,8417.192339897156,8.896122694015503,4.55
